epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1027.33,1.45398,6.62294,1.02522,0.04597,0.14124,0.04125,0.03092,1.31416,6.2108,0.88229,5.92715e-05,5.92715e-05,5.92715e-05
2,2021.35,1.46584,5.58555,0.95835,0.15091,0.19051,0.13819,0.09718,1.39529,4.98194,0.91132,0.000117761,0.000117761,0.000117761
3,3010.84,1.42592,4.56031,0.94999,0.37242,0.28117,0.21984,0.15783,1.32097,4.13454,0.90285,0.000175068,0.000175068,0.000175068
4,4009.64,1.38099,3.88294,0.96252,0.52647,0.30177,0.31878,0.22214,1.2411,3.68678,0.89923,0.000173684,0.000173684,0.000173684
5,5015.72,1.36621,3.59101,0.95927,0.45723,0.38305,0.36891,0.25549,1.23227,3.32432,0.90695,0.000171912,0.000171912,0.000171912
6,6053.39,1.32639,3.23518,0.94961,0.55394,0.42944,0.4486,0.31451,1.2338,3.10106,0.89647,0.000170139,0.000170139,0.000170139
7,7060.85,1.3135,3.03918,0.95125,0.6349,0.41144,0.47018,0.32953,1.17782,2.77378,0.90162,0.000168367,0.000168367,0.000168367
8,8216.92,1.25483,2.65429,0.94144,0.6603,0.45709,0.52836,0.38086,1.1243,2.61462,0.88451,0.000166595,0.000166595,0.000166595
9,9483.4,1.21913,2.53747,0.94786,0.73868,0.47081,0.53899,0.38592,1.11935,2.45798,0.88698,0.000164823,0.000164823,0.000164823
10,10735.7,1.1781,2.33995,0.93037,0.76867,0.49755,0.58402,0.41108,1.166,2.35452,0.90689,0.000163051,0.000163051,0.000163051
11,11914,1.18027,2.25222,0.91349,0.67216,0.56225,0.60296,0.43538,1.07695,2.19981,0.87879,0.000161279,0.000161279,0.000161279
12,13064.3,1.13351,2.02366,0.91619,0.73474,0.56189,0.6121,0.44057,1.08645,2.06597,0.88481,0.000159507,0.000159507,0.000159507
13,14078.4,1.137,1.97259,0.91807,0.80915,0.56405,0.61941,0.45133,1.04801,1.96102,0.88243,0.000157735,0.000157735,0.000157735
14,15176.2,1.12121,1.91762,0.91151,0.83863,0.5768,0.64291,0.45902,1.06546,1.87663,0.87789,0.000155963,0.000155963,0.000155963
15,16677.9,1.11009,1.82345,0.90897,0.83711,0.59367,0.657,0.46415,1.03495,1.87818,0.87728,0.000154191,0.000154191,0.000154191
16,17868.1,1.1021,1.82501,0.90412,0.81619,0.62199,0.66315,0.48156,1.0077,1.71798,0.86369,0.000152418,0.000152418,0.000152418
17,18979.1,1.08537,1.71309,0.89745,0.80937,0.6178,0.67245,0.48828,1.0096,1.71678,0.86792,0.000150646,0.000150646,0.000150646
18,20063.8,1.06506,1.61926,0.91083,0.84584,0.61344,0.6728,0.49717,0.99888,1.67437,0.87016,0.000148874,0.000148874,0.000148874
19,21197.9,1.04487,1.56541,0.89969,0.81647,0.61627,0.66855,0.48883,1.02179,1.68708,0.87081,0.000147102,0.000147102,0.000147102
